unique_key,agency
69401119,DOT
69410022,DOT
69401806,NYPD
69409252,NYPD
69406453,TLC
69412215,NYPD
69409240,NYPD
69409313,NYPD
69409174,NYPD
69410728,NYPD
69412012,NYPD
69406333,NYPD
69406386,NYPD
69412152,DOHMH
69410846,TLC
69403337,NYPD
69409196,NYPD
69410631,DPR
69404679,NYPD
69403401,NYPD
69409230,NYPD
69409071,DPR
69407860,NYPD
69412169,NYPD
69406454,TLC
69401923,TLC
69401544,DOT
69409139,NYPD
69403336,NYPD
69404815,NYPD
69403123,NYPD
69401795,NYPD
69404826,NYPD
69403292,NYPD
69410730,NYPD
69412335,TLC
69412224,NYPD
69405221,NYPD
69412010,NYPD
69401753,NYPD
69412240,NYPD
69407855,NYPD
69403119,NYPD
69412336,TLC
69407994,DSNY
69405219,NYPD
69401814,NYPD
69412217,NYPD
69404880,NYPD
69403341,NYPD
69407847,NYPD
69406330,NYPD
69412245,NYPD
69410685,NYPD
69412212,NYPD
69404902,NYPD
69401624,NYPD
69406455,TLC
69403183,DPR
69409226,NYPD
69404996,TLC
69412164,NYPD
69409232,NYPD
69412172,NYPD
69407857,NYPD
69407812,NYPD
69407931,TLC
69404849,NYPD
69404903,NYPD
69404836,NYPD
69409247,NYPD
69403316,NYPD
69401924,TLC
69407765,NYPD
69412247,NYPD
69403334,NYPD
69406364,NYPD
69402174,DSNY
69412337,TLC
69407684,DPR
69406326,NYPD
69402078,DSNY
69401809,NYPD
69410565,DPR
69407813,NYPD
69407932,TLC
69404818,NYPD
69404838,NYPD
69404683,NYPD
69412201,NYPD
69412242,NYPD
69412100,DPR
69409582,DSNY
69401760,NYPD
69404669,NYPD
69410683,NYPD
69412185,NYPD
69403266,NYPD
69408640,NYPD
69407833,NYPD
69401773,NYPD
69403332,NYPD
69404897,NYPD
69401925,TLC
69412235,NYPD
69412241,NYPD
69409239,NYPD
69409254,NYPD
69403282,NYPD
69409181,NYPD
69404875,NYPD
69412209,NYPD
69404830,NYPD
69411568,NYPD
69408084,DSNY
69406881,NYPD
69403293,NYPD
69404997,TLC
69409577,OOS
69412083,DPR
69404885,NYPD
69401800,NYPD
69410216,NYPD
69401926,TLC
69406384,NYPD
69408967,DOT
69401874,NYPD
69404823,NYPD
69401774,NYPD
69401721,DPR
69410450,DOT
69407861,NYPD
69406363,NYPD
69410734,NYPD
69403286,NYPD
69407933,TLC
69408968,DOT
69405748,NYPD
69412174,NYPD
69407543,DOT
69404908,NYPD
69409177,NYPD
69404829,NYPD
69409171,NYPD
69401811,NYPD
69404998,TLC
69401545,DOT
69412220,NYPD
69403325,NYPD
69406403,DOT
69406176,NYPD
69404895,NYPD
69404254,NYPD
69412338,TLC
69410699,NYPD
69406316,NYPD
69404833,NYPD
69406187,NYPD
69401830,NYPD
69412467,DCWP
69403209,DPR
69407793,NYPD
69404816,NYPD
69407226,NYPD
69407203,NYPD
69407832,NYPD
69401818,NYPD
69401768,NYPD
69407821,NYPD
69404209,NYPD
69404824,NYPD
69403273,NYPD
69406178,NYPD
69409256,NYPD
69404873,NYPD
69401775,NYPD
69406315,NYPD
69409231,NYPD
69412186,NYPD
69412327,TLC
69404817,NYPD
69403346,NYPD
69407862,NYPD
69410829,TLC
69407289,NYPD
69407849,NYPD
69409186,NYPD
69401178,NYPD
69410731,NYPD
69410697,NYPD
69403461,NYPD
69406355,NYPD
69406183,NYPD
69401754,NYPD
69406367,NYPD
69411276,NYPD
69401828,NYPD
69403115,NYPD
69409176,NYPD
69410753,NYPD
69406313,NYPD
69407852,NYPD
69403287,NYPD
69412187,NYPD
69404843,NYPD
69406369,NYPD
69403125,NYPD
69401832,NYPD
69409167,NYPD
69401273,NYPD
69408775,NYPD
69407780,NYPD
69407322,NYPD
69407791,NYPD
69403289,NYPD
69401541,DOT
69406231,DPR
69408741,NYPD
69407853,NYPD
69404156,DOT
69412246,NYPD
69407844,NYPD
69403281,NYPD
69404906,NYPD
69404846,NYPD
69409219,NYPD
69403120,NYPD
69405788,NYPD
69405793,NYPD
69409198,NYPD
69404368,NYPD
69407840,NYPD
69401222,NYPD
69410729,NYPD
69409241,NYPD
69409237,NYPD
69410741,NYPD
69404711,DPR
69408370,NYPD
69412214,NYPD
69407174,NYPD
69411496,DOT
69412469,DSNY
69410727,NYPD
69401831,NYPD
69405812,NYPD
69403114,NYPD
69410696,NYPD
69406505,DHS
69401829,NYPD
69404845,NYPD
69401794,NYPD
69402700,NYPD
69403342,NYPD
69411391,NYPD
69402798,NYPD
69404904,NYPD
69410763,DOT
69408686,NYPD
69410211,NYPD
69406366,NYPD
69412370,DHS
69411629,NYPD
69401567,NYPD
69406381,NYPD
69410742,NYPD
69405716,NYPD
69404861,NYPD
69401866,DOT
69401181,NYPD
69412211,NYPD
69403274,NYPD
69404678,NYPD
69410738,NYPD
69404912,NYPD
69409180,NYPD
69404896,NYPD
69401771,NYPD
69401250,NYPD
69410165,NYPD
69407323,NYPD
69410698,NYPD
69410958,NYPD
69410700,NYPD
69409781,NYPD
69404326,NYPD
69404822,NYPD
69404882,NYPD
69408718,NYPD
69408350,NYPD
69407047,NYPD
69408747,NYPD
69410234,NYPD
69407786,NYPD
69407775,NYPD
69411371,NYPD
69403349,NYPD
69405815,NYPD
69406508,DHS
69407788,NYPD
69409105,DOHMH
69401308,NYPD
69411688,NYPD
69412221,NYPD
69410806,DOT
69409195,NYPD
69404820,NYPD
69410155,NYPD
69402760,NYPD
69401770,NYPD
69401693,DPR
69412234,NYPD
69404285,NYPD
69410535,NYPD
69404302,NYPD
69408353,NYPD
69410156,NYPD
69409234,NYPD
69401321,NYPD
69410649,TLC
69412166,NYPD
69410462,DOT
69412531,DCWP
69406173,NYPD
69410219,NYPD
69401323,NYPD
69406325,NYPD
69401796,NYPD
69403206,DPR
69401827,NYPD
69402790,NYPD
69407814,NYPD
69402575,NYPD
69404362,NYPD
69409046,NYPD
69407538,DOT
69411623,NYPD
69401641,DPR
69403420,TLC
69405526,NYPD
69405352,NYPD
69400865,NYPD
69412177,NYPD
69411689,NYPD
69403308,NYPD
69402774,NYPD
69406374,NYPD
69409897,NYPD
69407836,NYPD
69406443,TLC
69404923,DOT
69409260,NYPD
69407842,NYPD
69409221,NYPD
69405066,DSNY
69407566,NYPD
69412278,DOT
69410830,TLC
69409557,NYPD
69408772,NYPD
69408682,NYPD
69401765,NYPD
69410952,DSNY
69406873,NYPD
69407563,NYPD
69401909,TLC
69401238,NYPD
69410212,NYPD
69412329,TLC
69405848,NYPD
69404863,NYPD
69405729,NYPD
69401805,NYPD
69410732,NYPD
69410745,NYPD
69410151,NYPD
69405679,DOT
69411555,NYPD
69407831,NYPD
69404888,NYPD
69405067,DSNY
69404328,NYPD
69410543,NYPD
69411690,NYPD
69403421,TLC
69407817,NYPD
69411699,NYPD
69404305,NYPD
69407920,TLC
69402393,NYPD
69403290,NYPD
69405894,NYPD
69401625,NYPD
69403321,NYPD
69401826,NYPD
69404831,NYPD
69401910,TLC
69411632,NYPD
69411599,NYPD
69407293,NYPD
69408465,NYPD
69407245,NYPD
69401813,NYPD
69410138,NYPD
69404222,NYPD
69412330,TLC
69403318,NYPD
69410217,NYPD
69404119,DOT
69407789,NYPD
69403592,DSNY
69404832,NYPD
69405791,NYPD
69411711,NYPD
69407838,NYPD
69401911,TLC
69407763,NYPD
69410831,TLC
69403378,DOT
69404834,NYPD
69409248,NYPD
69405430,NYPD
69410740,NYPD
69403422,TLC
69406350,NYPD
69403272,NYPD
69410668,NYPD
69409790,NYPD
69411324,NYPD
69404870,NYPD
69410918,DSNY
69408708,NYPD
69410747,NYPD
69402510,NYPD
69407291,NYPD
69407837,NYPD
69407336,NYPD
69407689,DOHMH
69402765,NYPD
69407264,NYPD
69401207,NYPD
69404216,NYPD
69407772,NYPD
69404939,DOT
69408354,NYPD
69407160,NYPD
69407629,NYPD
69412085,DOHMH
69400921,NYPD
69407284,NYPD
69410240,NYPD
69410005,NYPD
69401812,NYPD
69412515,NYPD
69403464,DOT
69404869,NYPD
69405543,NYPD
69403333,NYPD
69406835,NYPD
69402701,NYPD
69409042,NYPD
69407828,NYPD
69404840,NYPD
69410139,NYPD
69411550,NYPD
69410752,NYPD
69407816,NYPD
69407157,NYPD
69410628,DPR
69409086,DPR
69405529,NYPD
69402371,NYPD
69409506,DSNY
69401793,NYPD
69401182,NYPD
69411647,NYPD
69406122,NYPD
69407841,NYPD
69407770,NYPD
69404329,NYPD
69410529,NYPD
69410164,NYPD
69401165,NYPD
69404175,NYPD
69409375,DHS
69407166,NYPD
69402672,NYPD
69404360,NYPD
69402305,NYPD
69402645,NYPD
69410094,NYPD
69402647,NYPD
69401627,NYPD
69401819,NYPD
69404174,NYPD
69408644,NYPD
69404177,NYPD
69404821,NYPD
69407158,NYPD
69410751,NYPD
69410141,NYPD
69405153,DSNY
69411558,NYPD
69412230,NYPD
69401175,NYPD
69402817,NYPD
69411090,DOHMH
69405727,NYPD
69407156,NYPD
69406885,NYPD
69404176,NYPD
69401759,NYPD
69404035,NYPD
69402648,NYPD
69406382,NYPD
69402731,NYPD
69411644,NYPD
69409816,NYPD
69407767,NYPD
69403402,NYPD
69409049,NYPD
69401166,NYPD
69408762,NYPD
69407768,NYPD
69401163,NYPD
69406189,NYPD
69407893,NYPD
69408095,DSNY
69404242,NYPD
69410760,NYPD
69412222,NYPD
69411708,NYPD
69402771,NYPD
69410735,NYPD
69404876,NYPD
69409217,NYPD
69402646,NYPD
69411653,NYPD
69411616,NYPD
69403278,NYPD
69407221,NYPD
69409394,DSNY
69407925,TLC
69407339,NYPD
69408768,NYPD
69405544,NYPD
69407159,NYPD
69407805,NYPD
69402756,NYPD
69404280,NYPD
69402686,NYPD
69410840,TLC
69402654,NYPD
69405833,NYPD
69407167,NYPD
69410542,NYPD
69404266,NYPD
69400965,NYPD
69410737,NYPD
69402715,NYPD
69406492,DHS
69410210,NYPD
69410179,NYPD
69405156,DSNY
69410841,TLC
69407839,NYPD
69412013,NYPD
69411654,NYPD
69405719,NYPD
69408630,NYPD
69405875,NYPD
69405447,NYPD
69403881,NYPD
69401215,NYPD
69401252,NYPD
69401918,TLC
69408988,NYPD
69411254,NYPD
69401322,NYPD
69412229,NYPD
69411571,NYPD
69409588,NYPD
69402805,NYPD
69405264,NYPD
69409194,NYPD
69410309,HPD
69406449,TLC
69410162,NYPD
69404837,NYPD
69411358,NYPD
69404884,NYPD
69410093,NYPD
69410755,NYPD
69402621,DOT
69410750,NYPD
69411619,NYPD
69407926,TLC
69403117,NYPD
69410686,NYPD
69409432,DOHMH
69408642,NYPD
69405674,DOT
69412052,DPR
69408673,NYPD
69411545,DOT
69404901,NYPD
69409238,NYPD
69408290,NYPD
69403425,TLC
69402781,NYPD
69410135,NYPD
69401822,NYPD
69402763,NYPD
69404611,NYPD
69407834,NYPD
69410842,TLC
69409437,NYPD
69410098,NYPD
69410104,NYPD
69409963,NYPD
69404909,NYPD
69403279,NYPD
69407240,NYPD
69404991,TLC
69410599,DPR
69410220,NYPD
69401618,NYPD
69409991,NYPD
69405765,NYPD
69410843,TLC
69403962,NYPD
69401195,NYPD
69407116,DOT
69407337,NYPD
69411151,DEP
69409255,NYPD
69404233,NYPD
69409341,TLC
69408645,NYPD
69402922,HPD
69404482,HPD
69408816,HPD
69408902,HPD
69407421,HPD
69404226,NYPD
69407996,DSNY
69411085,DOHMH
69409245,NYPD
69407220,NYPD
69406221,DPR
69409250,NYPD
69409342,TLC
69401148,DOT
69402600,DOT
69405266,DCWP
69404881,NYPD
69401698,DOHMH
69401186,NYPD
69412160,NYPD
69402812,NYPD
69412332,TLC
69404148,DOT
69410715,DPR
69411858,HPD
69408855,HPD
69404369,NYPD
69404282,NYPD
69401628,NYPD
69403691,DEP
69410844,TLC
69409259,NYPD
69410196,NYPD
69409249,NYPD
69405658,DOT
69412225,NYPD
69409735,NYPD
69402199,DEP
69410605,DPR
69403140,DPR
69411573,NYPD
69402745,NYPD
69410469,NYPD
69404892,NYPD
69404898,NYPD
69410057,DOT
69410167,NYPD
69407306,NYPD
69411911,DOT
69401315,NYPD
69401767,NYPD
69403655,DOHMH
69407594,NYPD
69412019,NYPD
69408964,DOT
69405702,DOT
69401823,NYPD
69404293,NYPD
69402660,NYPD
69411559,NYPD
69410537,NYPD
69403177,DPR
69406370,NYPD
69405891,NYPD
69401293,NYPD
69410099,NYPD
