unique_key,borough
69401119,QUEENS
69410022,QUEENS
69401806,QUEENS
69409252,MANHATTAN
69406453,MANHATTAN
69412215,BRONX
69409240,BROOKLYN
69409313,QUEENS
69409174,BROOKLYN
69410728,QUEENS
69412012,QUEENS
69406333,QUEENS
69406386,MANHATTAN
69412152,BRONX
69410846,MANHATTAN
69403337,QUEENS
69409196,BROOKLYN
69410631,BRONX
69404679,BROOKLYN
69403401,QUEENS
69409230,QUEENS
69409071,BROOKLYN
69407860,MANHATTAN
69412169,BROOKLYN
69406454,MANHATTAN
69401923,MANHATTAN
69401544,QUEENS
69409139,BROOKLYN
69403336,BRONX
69404815,BROOKLYN
69403123,QUEENS
69401795,BROOKLYN
69404826,QUEENS
69403292,BROOKLYN
69410730,QUEENS
69412335,MANHATTAN
69412224,BROOKLYN
69405221,QUEENS
69412010,QUEENS
69401753,BROOKLYN
69412240,BROOKLYN
69407855,BROOKLYN
69403119,BRONX
69412336,BROOKLYN
69407994,BROOKLYN
69405219,QUEENS
69401814,BRONX
69412217,QUEENS
69404880,BRONX
69403341,BRONX
69407847,BROOKLYN
69406330,BROOKLYN
69412245,QUEENS
69410685,BROOKLYN
69412212,BROOKLYN
69404902,QUEENS
69401624,BRONX
69406455,MANHATTAN
69403183,BROOKLYN
69409226,QUEENS
69404996,MANHATTAN
69412164,QUEENS
69409232,BRONX
69412172,BROOKLYN
69407857,BROOKLYN
69407812,QUEENS
69407931,MANHATTAN
69404849,QUEENS
69404903,BROOKLYN
69404836,BRONX
69409247,BROOKLYN
69403316,QUEENS
69401924,MANHATTAN
69407765,QUEENS
69412247,BRONX
69403334,BROOKLYN
69406364,BROOKLYN
69402174,BROOKLYN
69412337,MANHATTAN
69407684,BROOKLYN
69406326,QUEENS
69402078,QUEENS
69401809,BROOKLYN
69410565,BROOKLYN
69407813,QUEENS
69407932,MANHATTAN
69404818,BROOKLYN
69404838,BRONX
69404683,BROOKLYN
69412201,MANHATTAN
69412242,MANHATTAN
69412100,MANHATTAN
69409582,MANHATTAN
69401760,BRONX
69404669,QUEENS
69410683,QUEENS
69412185,QUEENS
69403266,BROOKLYN
69408640,BROOKLYN
69407833,QUEENS
69401773,BRONX
69403332,BRONX
69404897,BROOKLYN
69401925,BROOKLYN
69412235,BRONX
69412241,BROOKLYN
69409239,BROOKLYN
69409254,BROOKLYN
69403282,STATEN ISLAND
69409181,BROOKLYN
69404875,BROOKLYN
69412209,BROOKLYN
69404830,BROOKLYN
69411568,BROOKLYN
69408084,QUEENS
69406881,QUEENS
69403293,BRONX
69404997,BROOKLYN
69409577,BROOKLYN
69412083,MANHATTAN
69404885,QUEENS
69401800,QUEENS
69410216,BRONX
