unique_key,open_data_channel_type
69401119,UNKNOWN
69410022,UNKNOWN
69401806,ONLINE
69409252,MOBILE
69406453,ONLINE
69412215,ONLINE
69409240,PHONE
69409313,MOBILE
69409174,PHONE
69410728,ONLINE
69412012,ONLINE
69406333,MOBILE
69406386,ONLINE
69412152,PHONE
69410846,ONLINE
69403337,MOBILE
69409196,ONLINE
69410631,PHONE
69404679,PHONE
69403401,MOBILE
69409230,PHONE
69409071,PHONE
69407860,MOBILE
69412169,MOBILE
69406454,ONLINE
69401923,ONLINE
69401544,UNKNOWN
69409139,ONLINE
69403336,MOBILE
69404815,ONLINE
69403123,ONLINE
69401795,ONLINE
69404826,MOBILE
69403292,MOBILE
69410730,ONLINE
69412335,ONLINE
69412224,PHONE
69405221,MOBILE
69412010,ONLINE
69401753,ONLINE
69412240,ONLINE
69407855,MOBILE
69403119,PHONE
69412336,ONLINE
69407994,ONLINE
69405219,MOBILE
69401814,ONLINE
69412217,ONLINE
69404880,PHONE
69403341,PHONE
69407847,MOBILE
69406330,ONLINE
69412245,ONLINE
69410685,MOBILE
69412212,PHONE
69404902,ONLINE
69401624,PHONE
69406455,ONLINE
69403183,ONLINE
69409226,ONLINE
69404996,ONLINE
69412164,ONLINE
69409232,ONLINE
69412172,MOBILE
69407857,ONLINE
69407812,PHONE
69407931,ONLINE
69404849,ONLINE
69404903,ONLINE
69404836,ONLINE
69409247,ONLINE
69403316,ONLINE
69401924,ONLINE
69407765,MOBILE
69412247,PHONE
69403334,ONLINE
69406364,PHONE
69402174,ONLINE
69412337,ONLINE
69407684,UNKNOWN
69406326,PHONE
69402078,ONLINE
69401809,PHONE
69410565,PHONE
69407813,ONLINE
69407932,ONLINE
69404818,ONLINE
69404838,ONLINE
69404683,ONLINE
69412201,ONLINE
69412242,ONLINE
69412100,UNKNOWN
69409582,ONLINE
69401760,ONLINE
69404669,PHONE
69410683,ONLINE
69412185,MOBILE
69403266,ONLINE
69408640,MOBILE
69407833,PHONE
69401773,ONLINE
69403332,ONLINE
69404897,ONLINE
69401925,ONLINE
69412235,MOBILE
69412241,MOBILE
69409239,ONLINE
69409254,MOBILE
69403282,ONLINE
69409181,ONLINE
69404875,MOBILE
69412209,PHONE
69404830,PHONE
69411568,MOBILE
69408084,ONLINE
69406881,ONLINE
69403293,ONLINE
69404997,ONLINE
69409577,ONLINE
69412083,UNKNOWN
69404885,PHONE
69401800,ONLINE
69410216,PHONE
69401926,ONLINE
69406384,MOBILE
69408967,UNKNOWN
69401874,MOBILE
69404823,ONLINE
69401774,ONLINE
69401721,ONLINE
69410450,UNKNOWN
69407861,PHONE
69406363,ONLINE
69410734,ONLINE
69403286,ONLINE
69407933,ONLINE
69408968,UNKNOWN
69405748,PHONE
69412174,ONLINE
69407543,UNKNOWN
69404908,MOBILE
69409177,PHONE
69404829,ONLINE
69409171,ONLINE
69401811,PHONE
69404998,ONLINE
69401545,UNKNOWN
69412220,ONLINE
69403325,MOBILE
69406403,PHONE
69406176,ONLINE
69404895,MOBILE
69404254,MOBILE
69412338,ONLINE
69410699,MOBILE
69406316,ONLINE
69404833,ONLINE
69406187,ONLINE
69401830,MOBILE
69412467,ONLINE
69403209,UNKNOWN
69407793,ONLINE
69404816,ONLINE
69407226,MOBILE
69407203,ONLINE
69407832,ONLINE
69401818,ONLINE
69401768,ONLINE
69407821,PHONE
69404209,MOBILE
69404824,PHONE
69403273,ONLINE
69406178,ONLINE
69409256,MOBILE
69404873,MOBILE
69401775,MOBILE
69406315,ONLINE
69409231,ONLINE
69412186,MOBILE
69412327,ONLINE
69404817,MOBILE
69403346,ONLINE
69407862,PHONE
69410829,ONLINE
69407289,ONLINE
69407849,MOBILE
69409186,ONLINE
69401178,PHONE
69410731,ONLINE
69410697,MOBILE
69403461,ONLINE
69406355,ONLINE
69406183,PHONE
69401754,MOBILE
69406367,PHONE
69411276,MOBILE
69401828,ONLINE
69403115,PHONE
69409176,MOBILE
69410753,ONLINE
69406313,ONLINE
69407852,MOBILE
69403287,ONLINE
69412187,MOBILE
69404843,MOBILE
69406369,ONLINE
69403125,PHONE
69401832,ONLINE
69409167,PHONE
69401273,ONLINE
69408775,MOBILE
69407780,MOBILE
69407322,PHONE
69407791,PHONE
69403289,PHONE
69401541,UNKNOWN
69406231,PHONE
69408741,ONLINE
69407853,ONLINE
69404156,UNKNOWN
69412246,PHONE
69407844,MOBILE
69403281,MOBILE
69404906,ONLINE
69404846,ONLINE
69409219,ONLINE
69403120,PHONE
69405788,ONLINE
69405793,PHONE
69409198,MOBILE
69404368,PHONE
69407840,PHONE
69401222,ONLINE
69410729,PHONE
69409241,PHONE
69409237,ONLINE
69410741,MOBILE
69404711,PHONE
69408370,PHONE
69412214,ONLINE
69407174,MOBILE
69411496,UNKNOWN
69412469,ONLINE
69410727,MOBILE
69401831,ONLINE
69405812,PHONE
69403114,ONLINE
69410696,ONLINE
69406505,ONLINE
69401829,ONLINE
69404845,ONLINE
69401794,ONLINE
