unique_key,city
69401119,QUEENS
69410022,QUEENS
69401806,WOODSIDE
69409252,NEW YORK
69406453,NEW YORK
69412215,BRONX
69409240,BROOKLYN
69409313,CORONA
69409174,BROOKLYN
69410728,JAMAICA
69412012,EAST ELMHURST
69406333,FAR ROCKAWAY
69406386,NEW YORK
69412152,BRONX
69410846,NEW YORK
69403337,CORONA
69409196,BROOKLYN
69410631,BRONX
69404679,BROOKLYN
69403401,CORONA
69409230,WOODHAVEN
69409071,BROOKLYN
69407860,NEW YORK
69412169,BROOKLYN
69406454,NEW YORK
69401923,NEW YORK
69401544,QUEENS
69409139,BROOKLYN
69403336,BRONX
69404815,BROOKLYN
69403123,ROSEDALE
69401795,BROOKLYN
69404826,ASTORIA
69403292,BROOKLYN
69410730,FLUSHING
69412335,NEW YORK
69412224,BROOKLYN
69405221,ASTORIA
69412010,EAST ELMHURST
69401753,UNKNOWN
69412240,BROOKLYN
69407855,BROOKLYN
69403119,BRONX
69412336,BROOKLYN
69407994,BROOKLYN
69405219,ASTORIA
69401814,BRONX
69412217,FLUSHING
69404880,BRONX
69403341,BRONX
69407847,BROOKLYN
69406330,BROOKLYN
69412245,JAMAICA
69410685,BROOKLYN
69412212,BROOKLYN
69404902,RIDGEWOOD
69401624,BRONX
69406455,NEW YORK
69403183,BROOKLYN
69409226,FLUSHING
69404996,NEW YORK
69412164,WOODHAVEN
69409232,BRONX
69412172,BROOKLYN
69407857,BROOKLYN
69407812,FAR ROCKAWAY
69407931,NEW YORK
69404849,QUEENS VILLAGE
69404903,BROOKLYN
69404836,BRONX
69409247,BROOKLYN
69403316,FLUSHING
69401924,NEW YORK
69407765,WHITESTONE
69412247,UNKNOWN
69403334,BROOKLYN
69406364,BROOKLYN
69402174,BROOKLYN
69412337,NEW YORK
69407684,BROOKLYN
69406326,LONG ISLAND CITY
69402078,ROSEDALE
69401809,BROOKLYN
69410565,BROOKLYN
69407813,JAMAICA
69407932,NEW YORK
69404818,BROOKLYN
69404838,UNKNOWN
69404683,BROOKLYN
69412201,NEW YORK
69412242,NEW YORK
69412100,NEW YORK
69409582,NEW YORK
69401760,BRONX
69404669,SOUTH OZONE PARK
69410683,SOUTH OZONE PARK
69412185,JAMAICA
69403266,BROOKLYN
69408640,BROOKLYN
69407833,HOLLIS
69401773,BRONX
69403332,BRONX
69404897,BROOKLYN
69401925,BROOKLYN
69412235,BRONX
69412241,UNKNOWN
69409239,BROOKLYN
69409254,BROOKLYN
69403282,STATEN ISLAND
69409181,BROOKLYN
69404875,BROOKLYN
69412209,BROOKLYN
69404830,BROOKLYN
69411568,BROOKLYN
69408084,BAYSIDE
69406881,UNKNOWN
69403293,BRONX
