unique_key,complaint_type
69401119,Street Condition
69410022,Street Condition
69401806,Noise - Residential
69409252,Noise - Street/Sidewalk
69406453,For Hire Vehicle Complaint
69412215,Noise - Residential
69409240,Noise - Residential
69409313,Illegal Parking
69409174,Illegal Parking
69410728,Noise - Residential
69412012,Blocked Driveway
69406333,Illegal Parking
69406386,Noise - Vehicle
69412152,Food Establishment
69410846,For Hire Vehicle Complaint
69403337,Noise - Street/Sidewalk
69409196,Illegal Parking
69410631,Overgrown Tree/Branches
69404679,Blocked Driveway
69403401,Illegal Parking
69409230,Noise - Residential
69409071,Damaged Tree
69407860,Noise - Vehicle
69412169,Illegal Parking
69406454,For Hire Vehicle Complaint
69401923,For Hire Vehicle Complaint
69401544,Street Condition
69409139,Drinking
69403336,Noise - Street/Sidewalk
69404815,Illegal Fireworks
69403123,Blocked Driveway
69401795,Noise - Commercial
69404826,Illegal Parking
69403292,Illegal Parking
69410730,Noise - Residential
69412335,For Hire Vehicle Complaint
69412224,Noise - Residential
69405221,Illegal Parking
69412010,Blocked Driveway
69401753,Illegal Fireworks
69412240,Noise - Street/Sidewalk
69407855,Noise - Street/Sidewalk
69403119,Blocked Driveway
69412336,For Hire Vehicle Complaint
69407994,Dirty Condition
69405219,Illegal Parking
69401814,Noise - Residential
69412217,Noise - Residential
69404880,Noise - Residential
69403341,Noise - Street/Sidewalk
69407847,Noise - Street/Sidewalk
69406330,Illegal Parking
69412245,Noise - Vehicle
69410685,Illegal Parking
69412212,Noise - Residential
69404902,Noise - Street/Sidewalk
69401624,Blocked Driveway
69406455,For Hire Vehicle Complaint
69403183,Illegal Tree Damage
69409226,Noise - Residential
69404996,For Hire Vehicle Complaint
69412164,Illegal Parking
69409232,Noise - Residential
69412172,Illegal Parking
69407857,Noise - Street/Sidewalk
69407812,Noise - Residential
69407931,For Hire Vehicle Complaint
69404849,Illegal Parking
69404903,Noise - Street/Sidewalk
69404836,Illegal Parking
69409247,Noise - Residential
69403316,Noise - Residential
69401924,For Hire Vehicle Complaint
69407765,Illegal Parking
69412247,Noise - Vehicle
69403334,Noise - Street/Sidewalk
69406364,Noise - Residential
69402174,Residential Disposal Complaint
69412337,For Hire Vehicle Complaint
69407684,Dead/Dying Tree
69406326,Illegal Parking
69402078,Litter Basket Complaint
69401809,Noise - Residential
69410565,Damaged Tree
69407813,Noise - Residential
69407932,For Hire Vehicle Complaint
69404818,Illegal Parking
69404838,Illegal Parking
69404683,Blocked Driveway
69412201,Noise - Commercial
69412242,Noise - Street/Sidewalk
69412100,Overgrown Tree/Branches
69409582,Obstruction
69401760,Illegal Parking
69404669,Abandoned Vehicle
69410683,Illegal Fireworks
69412185,Illegal Parking
69403266,Illegal Fireworks
69408640,Noise - Commercial
69407833,Noise - Residential
69401773,Illegal Parking
69403332,Noise - Residential
69404897,Noise - Street/Sidewalk
69401925,For Hire Vehicle Complaint
69412235,Noise - Street/Sidewalk
69412241,Noise - Street/Sidewalk
69409239,Noise - Residential
69409254,Noise - Street/Sidewalk
69403282,Illegal Parking
69409181,Illegal Parking
69404875,Noise - Residential
69412209,Noise - Residential
69404830,Illegal Parking
69411568,Noise - Commercial
69408084,Dirty Condition
69406881,Illegal Parking
69403293,Illegal Parking
69404997,For Hire Vehicle Complaint
69409577,Cannabis Retailer
69412083,Illegal Tree Damage
69404885,Noise - Residential
69401800,Noise - Residential
69410216,Noise - Street/Sidewalk
69401926,For Hire Vehicle Complaint
69406384,Noise - Street/Sidewalk
69408967,Street Condition
69401874,Panhandling
69404823,Illegal Parking
69401774,Illegal Parking
69401721,Root/Sewer/Sidewalk Condition
69410450,Street Condition
69407861,Noise - Vehicle
69406363,Noise - Residential
69410734,Noise - Residential
69403286,Illegal Parking
69407933,For Hire Vehicle Complaint
69408968,Street Condition
69405748,Noise - Residential
69412174,Illegal Parking
69407543,Street Condition
69404908,Noise - Street/Sidewalk
69409177,Illegal Parking
69404829,Illegal Parking
69409171,Illegal Fireworks
69401811,Noise - Residential
69404998,For Hire Vehicle Complaint
69401545,Street Condition
69412220,Noise - Residential
69403325,Noise - Residential
69406403,Street Condition
69406176,Abandoned Vehicle
69404895,Noise - Street/Sidewalk
69404254,Noise - Residential
69412338,For Hire Vehicle Complaint
69410699,Illegal Parking
69406316,Illegal Parking
