unique_key,descriptor_id
69401119,Street Condition|Pothole
69410022,Street Condition|Pothole
69401806,Noise - Residential|Loud Music/Party
69409252,Noise - Street/Sidewalk|Loud Music/Party
69406453,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69412215,Noise - Residential|Banging/Pounding
69409240,Noise - Residential|Loud Music/Party
69409313,Illegal Parking|Parking Permit Improper Use
69409174,Illegal Parking|Blocked Hydrant
69410728,Noise - Residential|Banging/Pounding
69412012,Blocked Driveway|No Access
69406333,Illegal Parking|Posted Parking Sign Violation
69406386,Noise - Vehicle|Car/Truck Music
69412152,Food Establishment|Food Spoiled
69410846,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69403337,Noise - Street/Sidewalk|Loud Music/Party
69409196,Illegal Parking|Double Parked Blocking Traffic
69410631,Overgrown Tree/Branches|Hitting Building
69404679,Blocked Driveway|No Access
69403401,Illegal Parking|Parking Permit Improper Use
69409230,Noise - Residential|Banging/Pounding
69409071,Damaged Tree|Branch or Limb Has Fallen Down
69407860,Noise - Vehicle|Car/Truck Music
69412169,Illegal Parking|Blocked Hydrant
69406454,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69401923,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69401544,Street Condition|Pothole
69409139,Drinking|In Public
69403336,Noise - Street/Sidewalk|Loud Music/Party
69404815,Illegal Fireworks|N/A
69403123,Blocked Driveway|Partial Access
69401795,Noise - Commercial|Loud Music/Party
69404826,Illegal Parking|Blocked Hydrant
69403292,Illegal Parking|Posted Parking Sign Violation
69410730,Noise - Residential|Banging/Pounding
69412335,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69412224,Noise - Residential|Loud Music/Party
69405221,Illegal Parking|Blocked Crosswalk
69412010,Blocked Driveway|No Access
69401753,Illegal Fireworks|N/A
69412240,Noise - Street/Sidewalk|Loud Talking
69407855,Noise - Street/Sidewalk|Loud Talking
69403119,Blocked Driveway|No Access
69412336,For Hire Vehicle Complaint|Driver Complaint - Non Passenger
69407994,Dirty Condition|Trash
69405219,Illegal Parking|Blocked Crosswalk
69401814,Noise - Residential|Loud Music/Party
69412217,Noise - Residential|Banging/Pounding
69404880,Noise - Residential|Loud Music/Party
69403341,Noise - Street/Sidewalk|Loud Music/Party
69407847,Noise - Street/Sidewalk|Loud Music/Party
69406330,Illegal Parking|Double Parked Blocking Vehicle
