unique_key,location_type
69401119,UNKNOWN
69410022,UNKNOWN
69401806,Residential Building/House
69409252,Street/Sidewalk
69406453,Street
69412215,Residential Building/House
69409240,Residential Building/House
69409313,Street/Sidewalk
69409174,Street/Sidewalk
69410728,Residential Building/House
69412012,Street/Sidewalk
69406333,Street/Sidewalk
69406386,Street/Sidewalk
69412152,Restaurant/Bar/Deli/Bakery
69410846,Street
69403337,Street/Sidewalk
69409196,Street/Sidewalk
69410631,Street
69404679,Street/Sidewalk
69403401,Street/Sidewalk
69409230,Residential Building/House
69409071,Street
69407860,Street/Sidewalk
69412169,Street/Sidewalk
69406454,Street
69401923,Street
69401544,UNKNOWN
69409139,Residential Building/House
69403336,Street/Sidewalk
69404815,Street/Sidewalk
69403123,Street/Sidewalk
69401795,Club/Bar/Restaurant
69404826,Street/Sidewalk
69403292,Street/Sidewalk
69410730,Residential Building/House
69412335,Street
69412224,Residential Building/House
69405221,Street/Sidewalk
69412010,Street/Sidewalk
69401753,Street/Sidewalk
69412240,Street/Sidewalk
69407855,Street/Sidewalk
69403119,Street/Sidewalk
69412336,Street
69407994,Street
69405219,Street/Sidewalk
69401814,Residential Building/House
69412217,Residential Building/House
69404880,Residential Building/House
69403341,Street/Sidewalk
69407847,Street/Sidewalk
69406330,Street/Sidewalk
69412245,Street/Sidewalk
69410685,Street/Sidewalk
69412212,Residential Building/House
69404902,Street/Sidewalk
69401624,Street/Sidewalk
69406455,Street
69403183,Street
69409226,Residential Building/House
69404996,Street
69412164,Street/Sidewalk
69409232,Residential Building/House
69412172,Street/Sidewalk
69407857,Street/Sidewalk
69407812,Residential Building/House
69407931,Street
69404849,Street/Sidewalk
69404903,Street/Sidewalk
69404836,Street/Sidewalk
69409247,Residential Building/House
69403316,Residential Building/House
69401924,Street
69407765,Street/Sidewalk
69412247,Street/Sidewalk
69403334,Street/Sidewalk
69406364,Residential Building/House
69402174,Sidewalk
69412337,Street
69407684,Street
69406326,Street/Sidewalk
69402078,Sidewalk
69401809,Residential Building/House
69410565,Street
69407813,Residential Building/House
69407932,Street
69404818,Street/Sidewalk
69404838,Street/Sidewalk
69404683,Street/Sidewalk
69412201,Club/Bar/Restaurant
69412242,Street/Sidewalk
69412100,Street
69409582,Sidewalk
69401760,Street/Sidewalk
69404669,Street/Sidewalk
69410683,Residential Building/House
69412185,Street/Sidewalk
69403266,Street/Sidewalk
69408640,Store/Commercial
69407833,Residential Building/House
69401773,Street/Sidewalk
69403332,Residential Building/House
69404897,Street/Sidewalk
69401925,Street
69412235,Street/Sidewalk
69412241,Street/Sidewalk
69409239,Residential Building/House
69409254,Street/Sidewalk
69403282,Street/Sidewalk
69409181,Street/Sidewalk
69404875,Residential Building/House
69412209,Residential Building/House
69404830,Street/Sidewalk
69411568,Store/Commercial
69408084,Street
69406881,Street/Sidewalk
69403293,Street/Sidewalk
69404997,Street
69409577,UNKNOWN
69412083,Street
69404885,Residential Building/House
69401800,Residential Building/House
69410216,Street/Sidewalk
69401926,Street
69406384,Street/Sidewalk
69408967,UNKNOWN
69401874,Residential Building/House
69404823,Street/Sidewalk
69401774,Street/Sidewalk
69401721,Street
69410450,UNKNOWN
69407861,Street/Sidewalk
69406363,Residential Building/House
69410734,Residential Building/House
69403286,Street/Sidewalk
69407933,Street
69408968,UNKNOWN
69405748,Residential Building/House
69412174,Street/Sidewalk
69407543,UNKNOWN
69404908,Street/Sidewalk
69409177,Street/Sidewalk
69404829,Street/Sidewalk
69409171,Street/Sidewalk
69401811,Residential Building/House
69404998,Street
69401545,UNKNOWN
69412220,Residential Building/House
69403325,Residential Building/House
69406403,Street
69406176,Street/Sidewalk
69404895,Street/Sidewalk
69404254,Residential Building/House
69412338,Street
69410699,Street/Sidewalk
69406316,Street/Sidewalk
69404833,Street/Sidewalk
69406187,Street/Sidewalk
69401830,Street/Sidewalk
69412467,Business
69403209,Street
69407793,Street/Sidewalk
69404816,Street/Sidewalk
69407226,Residential Building/House
69407203,Residential Building/House
69407832,Residential Building/House
69401818,Street/Sidewalk
69401768,Street/Sidewalk
69407821,Residential Building/House
69404209,Residential Building/House
69404824,Street/Sidewalk
69403273,Street/Sidewalk
69406178,Residential Building/House
69409256,Street/Sidewalk
69404873,Residential Building/House
69401775,Street/Sidewalk
69406315,Street/Sidewalk
69409231,Residential Building/House
69412186,Street/Sidewalk
69412327,Street
69404817,Street/Sidewalk
69403346,Street/Sidewalk
69407862,Street/Sidewalk
69410829,Street
69407289,Street/Sidewalk
69407849,Street/Sidewalk
69409186,Street/Sidewalk
69401178,Store/Commercial
69410731,Residential Building/House
69410697,Street/Sidewalk
69403461,Street/Sidewalk
69406355,Club/Bar/Restaurant
69406183,Street/Sidewalk
69401754,Street/Sidewalk
69406367,Residential Building/House
69411276,Street/Sidewalk
69401828,Street/Sidewalk
69403115,Street/Sidewalk
69409176,Street/Sidewalk
69410753,Street/Sidewalk
69406313,Street/Sidewalk
69407852,Street/Sidewalk
69403287,Street/Sidewalk
