unique_key,incident_zip
69401119,11355
69410022,11355
69401806,11377
69409252,10012
69406453,10003
69412215,10460
69409240,11213
69409313,11368
69409174,11203
69410728,11432
69412012,11369
69406333,11694
69406386,10012
69412152,10466
69410846,10011
69403337,11368
69409196,11226
69410631,10451
69404679,11234
69403401,11368
69409230,11421
69409071,11207
69407860,10012
69412169,11223
69406454,10011
69401923,10025
69401544,11365
69409139,11218
69403336,10453
69404815,11226
69403123,11422
69401795,11235
69404826,11105
69403292,11220
69410730,11355
69412335,10022
69412224,11205
69405221,11105
69412010,11369
69401753,11226
69412240,11226
69407855,11201
69403119,10453
69412336,11217
69407994,11249
69405219,11105
69401814,10463
69412217,11355
69404880,10466
69403341,10463
69407847,11212
69406330,11226
69412245,11432
69410685,11221
69412212,11206
69404902,11385
69401624,10458
69406455,10028
69403183,11211
69409226,11355
69404996,10003
69412164,11421
69409232,10457
69412172,11220
69407857,11218
69407812,11691
69407931,10016
69404849,11427
69404903,11226
69404836,10466
69409247,11221
69403316,11355
69401924,10002
69407765,11357
69412247,10453
69403334,11226
69406364,11210
69402174,11205
69412337,10003
69407684,11218
69406326,11101
69402078,11422
69401809,11207
69410565,11239
69407813,11432
69407932,10003
69404818,11208
69404838,10451
69404683,11223
69412201,10009
69412242,10012
69412100,10009
69409582,10021
69401760,10455
69404669,11420
69410683,11420
69412185,11434
69403266,11226
69408640,11234
69407833,11423
69401773,10455
69403332,10453
69404897,11222
69401925,11201
69412235,10453
69412241,11228
69409239,11221
69409254,11234
69403282,10305
69409181,11235
69404875,11236
69412209,11210
69404830,11209
69411568,11234
69408084,11361
69406881,11412
69403293,10455
69404997,11201
69409577,11217
69412083,10009
69404885,11429
69401800,11429
69410216,10460
69401926,10017
69406384,11228
69408967,11418
69401874,10039
69404823,11235
69401774,10456
69401721,10308
69410450,11419
69407861,10003
69406363,11432
69410734,11221
69403286,11356
69407933,10017
69408968,11418
69405748,11214
69412174,10456
69407543,11420
69404908,11237
69409177,10469
69404829,10456
69409171,11226
69401811,11377
69404998,11372
69401545,11420
69412220,11221
69403325,11206
69406403,11368
69406176,11235
69404895,11208
69404254,11206
69412338,10016
69410699,11427
69406316,11421
69404833,10456
69406187,11385
69401830,11377
69412467,10036
69403209,11379
69407793,10456
69404816,11420
69407226,11231
69407203,11229
69407832,11423
69401818,10001
69401768,11235
69407821,10001
69404209,11233
69404824,11203
69403273,11218
69406178,11207
69409256,10014
69404873,11207
69401775,11417
69406315,10472
69409231,10472
69412186,11378
69412327,11372
69404817,11208
69403346,10031
69407862,10003
69410829,11372
69407289,11221
69407849,10453
69409186,11356
69401178,11206
69410731,10463
69410697,11201
69403461,11208
69406355,11237
69406183,11377
69401754,10305
69406367,10453
69411276,11201
69401828,10031
69403115,11365
69409176,10461
69410753,10452
69406313,11421
69407852,10472
69403287,11356
69412187,11373
69404843,11201
69406369,11236
69403125,11220
69401832,10456
69409167,10036
69401273,10002
69408775,10458
69407780,11201
69407322,10002
69407791,11417
69403289,11207
69401541,10452
69406231,11355
69408741,10027
69407853,10456
69404156,11203
69412246,10472
69407844,10026
69403281,11223
69404906,10026
69404846,11356
69409219,11237
69403120,11433
69405788,11238
69405793,10452
69409198,11223
69404368,11691
69407840,11105
69401222,11206
69410729,11421
69409241,11435
69409237,11206
69410741,10451
69404711,11355
69408370,10467
69412214,10026
69407174,10033
69411496,11358
69412469,11385
69410727,10009
69401831,10031
69405812,10128
69403114,11221
69410696,10452
69406505,10007
69401829,11209
69404845,11356
69401794,11237
69402700,10457
69403342,10026
69411391,10001
69402798,10458
69404904,10454
69410763,10022
69408686,11233
69410211,10025
69406366,11423
69412370,10013
69411629,11366
69401567,11366
69406381,10026
69410742,10026
69405716,11206
69404861,10009
69401866,11373
69401181,11366
69412211,10009
69403274,10452
69404678,11212
69410738,10459
69404912,11375
69409180,11373
69404896,10026
69401771,11219
69401250,10452
69410165,10469
69407323,10468
69410698,11364
69410958,11219
69410700,11356
69409781,10466
